iter	Passed	Remaining
639	1264	711
640	1268	710
641	1270	708
642	1271	706
643	1273	704
644	1275	702
645	1277	699
646	1278	697
647	1280	695
648	1282	693
649	1285	692
650	1287	690
651	1289	688
652	1291	686
653	1293	684
654	1295	682
655	1297	680
656	1299	678
657	1302	676
658	1303	674
659	1305	672
660	1307	670
661	1309	668
662	1311	666
663	1312	664
664	1316	663
665	1318	661
666	1320	659
667	1322	657
668	1324	655
669	1326	653
670	1328	651
671	1331	649
672	1333	647
673	1335	645
674	1337	643
675	1339	641
676	1341	639
677	1343	637
678	1345	636
679	1348	634
680	1350	632
681	1352	630
682	1354	628
683	1356	626
684	1358	624
685	1360	622
686	1362	620
687	1364	618
688	1366	616
689	1368	614
690	1370	612
691	1372	610
692	1374	608
693	1376	606
694	1378	605
695	1381	603
696	1382	601
697	1384	599
698	1386	596
699	1388	594
700	1390	592
701	1392	590
702	1394	589
703	1396	587
704	1398	585
705	1400	583
706	1402	581
707	1403	578
708	1405	576
709	1407	574
710	1409	572
711	1411	571
712	1413	569
713	1415	567
714	1417	565
715	1419	563
716	1421	560
717	1423	558
718	1425	557
719	1427	555
720	1430	553
721	1432	551
722	1434	549
723	1436	547
724	1438	545
725	1440	543
726	1443	542
727	1445	540
728	1447	538
729	1449	536
730	1451	534
731	1453	532
732	1455	530
733	1457	528
734	1459	526
735	1461	524
736	1463	522
737	1465	520
738	1467	518
739	1469	516
740	1471	514
741	1473	512
742	1475	510
743	1477	508
744	1479	506
745	1480	504
746	1482	502
747	1484	500
748	1486	498
749	1488	496
750	1491	494
751	1493	492
752	1495	490
753	1496	488
754	1498	486
755	1500	484
756	1502	482
757	1505	480
758	1508	478
759	1509	476
760	1512	474
761	1513	472
762	1515	470
763	1517	468
764	1519	466
765	1521	464
766	1524	463
767	1526	461
768	1528	459
769	1530	457
770	1532	455
771	1534	453
772	1536	451
773	1538	449
774	1540	447
775	1542	445
776	1545	443
777	1547	441
778	1549	439
779	1551	437
780	1554	435
781	1556	433
782	1557	431
783	1560	429
784	1561	427
785	1563	425
786	1565	423
787	1567	421
788	1570	419
789	1572	417
790	1574	415
791	1576	413
792	1578	411
793	1580	409
794	1582	407
795	1584	406
796	1586	404
797	1589	402
798	1591	400
799	1593	398
800	1594	396
801	1596	394
802	1598	392
803	1601	390
804	1603	388
805	1604	386
806	1606	384
807	1608	382
808	1610	380
809	1612	378
810	1614	376
811	1615	374
812	1618	372
813	1620	370
814	1622	368
815	1624	366
816	1626	364
817	1628	362
818	1629	360
819	1631	358
820	1634	356
821	1636	354
822	1638	352
823	1640	350
824	1642	348
825	1644	346
826	1647	344
827	1650	342
828	1652	340
829	1654	338
830	1656	336
831	1658	334
832	1660	332
833	1662	330
834	1665	329
835	1667	327
836	1669	325
837	1671	323
838	1673	321
839	1675	319
840	1677	317
841	1680	315
842	1682	313
843	1684	311
844	1686	309
845	1687	307
846	1689	305
847	1691	303
848	1693	301
849	1695	299
850	1697	297
851	1699	295
852	1701	293
853	1703	291
854	1705	289
855	1707	287
856	1709	285
857	1711	283
858	1713	281
859	1715	279
860	1717	277
861	1719	275
862	1721	273
863	1723	271
864	1725	269
865	1727	267
866	1730	265
867	1732	263
868	1734	261
869	1736	259
870	1738	257
871	1739	255
872	1741	253
873	1744	251
874	1746	249
875	1748	247
876	1750	245
877	1752	243
878	1754	241
879	1756	239
880	1758	237
881	1761	235
882	1763	233
883	1765	231
884	1767	229
885	1769	227
886	1771	225
887	1773	223
888	1776	221
889	1778	219
890	1780	217
891	1782	215
892	1783	213
893	1785	211
894	1787	209
895	1789	207
896	1791	205
897	1794	203
898	1795	201
899	1797	199
900	1799	197
901	1801	195
902	1803	193
903	1805	191
904	1808	189
905	1810	187
906	1812	185
907	1814	183
908	1816	181
909	1818	179
910	1820	177
911	1821	175
912	1825	173
913	1827	171
914	1828	169
915	1830	167
916	1832	165
917	1834	163
918	1836	161
919	1838	159
920	1840	157
921	1843	155
922	1845	153
923	1846	151
924	1848	149
925	1850	147
926	1852	145
927	1854	143
928	1857	141
929	1859	139
930	1860	137
931	1862	135
932	1864	133
933	1866	131
934	1868	129
935	1870	127
936	1873	125
937	1875	123
938	1876	121
939	1878	119
940	1880	117
941	1882	115
942	1884	113
943	1887	111
944	1889	109
945	1891	107
946	1893	105
947	1895	103
948	1897	101
949	1899	99
950	1901	97
951	1904	96
952	1906	94
953	1908	92
954	1909	89
955	1911	87
956	1913	85
957	1915	83
958	1917	81
959	1920	80
960	1922	78
961	1924	76
962	1926	74
963	1928	72
964	1930	70
965	1932	68
966	1935	66
967	1937	64
968	1939	62
969	1941	60
970	1943	58
971	1945	56
972	1947	54
973	1949	52
974	1952	50
975	1954	48
976	1956	46
977	1957	44
978	1959	42
979	1961	40
980	1963	38
981	1965	36
982	1968	34
983	1970	32
984	1971	30
985	1973	28
986	1975	26
987	1977	24
988	1979	22
989	1982	20
990	1984	18
991	1986	16
992	1988	14
993	1990	12
994	1992	10
995	1994	8
996	1996	6
997	1998	4
998	2001	2
999	2003	0
